praise_text,praise_score,business_id,name
best oyster,2.414669316437585,GBTPC53ZrG1ZBY3DT8Mbcw,Luke
savannah,2.385818870226524,GBTPC53ZrG1ZBY3DT8Mbcw,Luke
sprouts amazing,2.353092606414075,GBTPC53ZrG1ZBY3DT8Mbcw,Luke
richie rich,2.3139266097880378,GBTPC53ZrG1ZBY3DT8Mbcw,Luke
tristan,2.29403293535095,GBTPC53ZrG1ZBY3DT8Mbcw,Luke
tim,2.363492514395843,qb28j-FNX1_6xm7u372TZA,Gumbo Shop
everyday,2.2584060644448765,qb28j-FNX1_6xm7u372TZA,Gumbo Shop
soooooo,2.2246394256516693,qb28j-FNX1_6xm7u372TZA,Gumbo Shop
boudin creole,2.2197864339890296,qb28j-FNX1_6xm7u372TZA,Gumbo Shop
boudin creole mustard,2.209557965401204,qb28j-FNX1_6xm7u372TZA,Gumbo Shop
years come,2.498718556101567,_C7QiQQc47AOEv4PE3Kong,Commander's Palace
place especially,2.4978782493132243,_C7QiQQc47AOEv4PE3Kong,Commander's Palace
fourth,2.4926275879055604,_C7QiQQc47AOEv4PE3Kong,Commander's Palace
amazing service impeccable,2.472091789934371,_C7QiQQc47AOEv4PE3Kong,Commander's Palace
orleans one best,2.4698785290820893,_C7QiQQc47AOEv4PE3Kong,Commander's Palace
best servers,2.399181920585173,VQcCL9PiNL_wkGf-uF3fjg,Royal House
melva server,2.372142424420453,VQcCL9PiNL_wkGf-uF3fjg,Royal House
dream,2.357115315082173,VQcCL9PiNL_wkGf-uF3fjg,Royal House
importantly,2.298561255296297,VQcCL9PiNL_wkGf-uF3fjg,Royal House
leroy,2.235528466853771,VQcCL9PiNL_wkGf-uF3fjg,Royal House
yvette,2.390887557961772,VaO-VW3e1kARkU9bP1E7Fw,Felix's Restaurant & Oyster Bar
way better acme,2.390374377677843,VaO-VW3e1kARkU9bP1E7Fw,Felix's Restaurant & Oyster Bar
get charbroiled,2.382410047455745,VaO-VW3e1kARkU9bP1E7Fw,Felix's Restaurant & Oyster Bar
sat oyster,2.154545959669605,VaO-VW3e1kARkU9bP1E7Fw,Felix's Restaurant & Oyster Bar
wait line across,2.134527828748776,VaO-VW3e1kARkU9bP1E7Fw,Felix's Restaurant & Oyster Bar
rocks,2.407321530903158,6a4gLLFSgr-Q6CZXDLzBGQ,Cochon
oysters die,2.305840617645871,6a4gLLFSgr-Q6CZXDLzBGQ,Cochon
amazing mac,2.2881329447024297,6a4gLLFSgr-Q6CZXDLzBGQ,Cochon
go nola,2.2858153611617915,6a4gLLFSgr-Q6CZXDLzBGQ,Cochon
amazing oysters,2.232973571039248,6a4gLLFSgr-Q6CZXDLzBGQ,Cochon
boy delicious,1.9888954852407248,iSRTaT9WngzB8JJ2YKJUig,Mother's Restaurant
best poboy,1.8875163935666832,iSRTaT9WngzB8JJ2YKJUig,Mother's Restaurant
fried chicken worth,1.8443268251010936,iSRTaT9WngzB8JJ2YKJUig,Mother's Restaurant
chicken worth,1.8443268251010936,iSRTaT9WngzB8JJ2YKJUig,Mother's Restaurant
authentic cajun,1.8258711422903011,iSRTaT9WngzB8JJ2YKJUig,Mother's Restaurant
service errol,2.382507512582408,ac1AeYqs8Z4_e2X5M3if2A,Oceana Grill
amazing new orleans,2.380994878565058,ac1AeYqs8Z4_e2X5M3if2A,Oceana Grill
amazing new,2.380994878565058,ac1AeYqs8Z4_e2X5M3if2A,Oceana Grill
best waiter,2.370423315634991,ac1AeYqs8Z4_e2X5M3if2A,Oceana Grill
omg good,2.3702297786823614,ac1AeYqs8Z4_e2X5M3if2A,Oceana Grill
line scare,2.255143495807932,_ab50qdWOk0DdB6XOrBitw,Acme Oyster House
orleans oyster,2.2534479334362816,_ab50qdWOk0DdB6XOrBitw,Acme Oyster House
new orleans oyster,2.2534479334362816,_ab50qdWOk0DdB6XOrBitw,Acme Oyster House
changed life,2.24318968536059,_ab50qdWOk0DdB6XOrBitw,Acme Oyster House
hands best oysters,2.241493771046008,_ab50qdWOk0DdB6XOrBitw,Acme Oyster House
server freddie awesome,2.445053704796333,oBNrLz4EDhiscSlbOl8uAw,Ruby Slipper - New Orleans
freddie great server,2.442563091354595,oBNrLz4EDhiscSlbOl8uAw,Ruby Slipper - New Orleans
service freddie,2.442499630074194,oBNrLz4EDhiscSlbOl8uAw,Ruby Slipper - New Orleans
jerry,2.439908392915738,oBNrLz4EDhiscSlbOl8uAw,Ruby Slipper - New Orleans
loved loved,2.4351159864328373,oBNrLz4EDhiscSlbOl8uAw,Ruby Slipper - New Orleans
